Run,Day,AvgSleepDuration,AvgNightSMUse
2,25,7.469464094243908,0.7992589377029194
2,26,7.438077209536115,0.8076351561573547
2,27,7.255865519738261,1.0968579156722988
2,28,7.196742281985012,1.1424460185087937
2,29,7.402546497384775,0.8420722827707283
2,30,7.391582540513807,0.8165001092393288
3,1,7.437023650446202,0.8252038344056882
3,2,7.398078271226971,0.7834372839083327
3,3,7.435376166121073,0.7785821445717738
3,4,7.430079967433596,0.7948716866221113
3,5,7.458234801663079,0.7839111240762807
3,6,7.200749028941749,1.0958214446401824
3,7,7.205477351002064,1.146807121417589
3,8,7.421124555078386,0.8181391613984936
3,9,7.508790225603067,0.7541583923448311
3,10,7.4904589587464265,0.7697493636710314
3,11,7.4498006241489225,0.8098458833541803
3,12,7.528146168888247,0.7576840236935873
3,13,7.266384737858885,1.101356924117942
3,14,7.161839308025025,1.146959352266907
3,15,7.4579740681182445,0.8034256048081615
3,16,7.4310151793485355,0.7869791608141687
3,17,7.483147432578544,0.7834373154990835
3,18,7.436312027595708,0.8066688599176857
3,19,7.463290982348757,0.7813305544506653
3,20,7.236974291557613,1.1078227655430082
3,21,7.201430432398072,1.1423076556946574
3,22,7.452297747988586,0.8067007734316255
3,23,7.431435103816224,0.7704151094190311
3,24,7.465328781719191,0.781629934558358
3,25,7.4556037945599165,0.7672452426652021
3,26,7.464464588923749,0.7852692091849809
3,27,7.241515139722075,1.0911750573561594
3,28,7.20443159950828,1.133578517630078
3,29,7.355779075912348,0.8156716347038949
3,30,7.427685761063451,0.7940153947694211
4,1,7.457375096433832,0.7785389803415583
4,2,7.463166020367814,0.7815851262426068
4,3,7.423069251996708,0.7731285056604276
4,4,7.454648070198586,0.7810849411929154
4,5,7.467066860185665,0.7614196273811534
4,6,7.220731942597527,1.0571565685375361
4,7,7.272370515170853,1.0679826288927088
4,8,7.4772747679372,0.7917439233438327
4,9,7.450073375363819,0.7795664105164144
4,10,7.456775829938432,0.7798581498767918
4,11,7.4366727203675405,0.7660464993985346
4,12,7.4915316386147985,0.7592118620588573
4,13,7.292158926766526,1.0373327145326234
4,14,7.303761330485545,1.0394587936187907
4,15,7.41938664507238,0.7910919528876238
4,16,7.477150060426127,0.7555685884486897
4,17,7.4993798403461245,0.7467999999043119
4,18,7.478296548605624,0.7564309994083626
4,19,7.463400475651176,0.7665526867206269
4,20,7.297552343780122,1.0201955550740607
4,21,7.236003939375548,1.05678060676881
4,22,7.4083990092857155,0.78775355146746
4,23,7.486205992318559,0.7463796414231331
4,24,7.501892237450404,0.7543725733858611
4,25,7.456437297309479,0.7615333344164739
4,26,7.505624964474169,0.7620223562592503
4,27,7.218190977186104,1.0338578740409607
4,28,7.249989369064625,1.0479922952430005
4,29,7.4457603973773185,0.7992335532101046
4,30,7.458923217204078,0.7578328353300421
5,1,7.446684705724237,0.8067693184277195
5,2,7.477795716075255,0.7527380783934493
5,3,7.487123695430241,0.7620690193634815
5,4,7.454296558314103,0.7653441367172351
5,5,7.448898968448942,0.7938349678936703
5,6,7.180717738407364,1.1642871766068847
5,7,7.10937165728523,1.2053427426207257
5,8,7.431431360991492,0.8137321638728052
5,9,7.453929312152469,0.7857666527123531
5,10,7.439187451272412,0.7645004071730602
5,11,7.466287893445309,0.7504778257940553
5,12,7.45962602221056,0.7473335259147612
5,13,7.209770319960265,1.1607858312208206
5,14,7.194240150495548,1.1852235990253275
5,15,7.422790454322365,0.8121323364498936
5,16,7.41726338914543,0.7631359111990098
5,17,7.401517246069891,0.8012439248450215
5,18,7.437685181882909,0.7825397639204502
5,19,7.444212333096259,0.771606565952616
5,20,7.146431662574064,1.1806132147972659
5,21,7.132245522012705,1.2080418733698388
5,22,7.4352143688498415,0.8226589925483222
5,23,7.414442492693878,0.7899813838019175
5,24,7.421650387603534,0.8002813065283638
5,25,7.454290793158325,0.7919545282192668
5,26,7.4781025400254615,0.7656109036608018
5,27,7.212697573226574,1.1569456847136537
5,28,7.1514315614471,1.225162119571449
5,29,7.381680478908932,0.835068614617102
5,30,7.447847048034143,0.8122708319555215
